Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
OneSavings Bank Plc.;OneSavings Bank Plc.;OSB.L;OSB;OSB;446250390;0,8;;;;;;;;
First Derivatives Plc.;First Derivatives Plc.;FDP.L;FDP;FDP;27576507;0,6;;;;;;;;
Games Workshop Group Plc.;Games Workshop Group Plc.;GAW.L;GAW;GAW;32677136;0,8;;;;;;;;
Dunelm Group Plc.;Dunelm Group Plc.;DNLM.L;DNLM;DNLM;203138527;0,5;;;;;;;;
Spire Healthcare Group Plc.;Spire Healthcare Group Plc.;SPI.L;SPI;SPI;401081391;0,5;;;;;;;;
Morgan Advanced Materials Plc.;Morgan Advanced Materials Plc.;MGAM.L;MGAM;MGAM;285369988;0,65;;;;;;;;
Hurricane Energy Plc.;Hurricane Energy Plc.;HUR.L;HUR;HUR;1990228053;0,65;;;;;;;;
Ted Baker Plc.;Ted Baker Plc.;TED.L;TED;TED;184586562;0,65;;;;;;;;
CREST NICHOLSON Holdings Plc.;CREST NICHOLSON Holdings Plc.;CRST.L;CRST;CRST;256920539;0,9;;;;;;;;
Ferrexpo Plc.;Ferrexpo Plc.;FXPO.L;FXPO;FXPO;613967956;0,4;;;;;;;;
Greggs Plc.;Greggs Plc.;GRG.L;GRG;GRG;101343978;0,9;;;;;;;;
Galliford Try Plc.;Galliford Try Plc.;GFRD.L;GFRD;GFRD;111050000;1;;;;;;;;
Victoria Plc.;Victoria Plc.;VCP.L;VCP;VCP;125398004;0,9;;;;;;;;
BREWIN DOLPHIN Holdings;BREWIN DOLPHIN Holdings;BRW.L;BRW;BRW;303232690;0,85;;;;;;;;
Pz Cussons Plc.;Pz Cussons Plc.;PZC.L;PZC;PZC;428724960;0,8;;;;;;;;
Stagecoach Group Plc.;Stagecoach Group Plc.;SGC.L;SGC;SGC;576457132;0,8;;;;;;;;
Premier Oil Plc.;Premier Oil Plc.;PMO.L;PMO;PMO;925532676;0,9;;;;;;;;
888 Holdings;888 Holdings;888.L;888;888;368735714;0,6;;;;;;;;
St.Modwen Properties Plc.;St.Modwen Properties Plc.;SMP.L;SMP;SMP;222376988;0,9;;;;;;;;
Hochschild Mining Plc.;Hochschild Mining Plc.;HOC.L;HOC;HOC;513875563;0,5;;;;;;;;
PURPLEBRICKS GROUP Plc.;PURPLEBRICKS GROUP Plc.;PURP.L;PURP;PURP;306806039;0,7;;;;;;;;
Gb Group Plc.;Gb Group Plc.;GBG.L;GBG;GBG;195024387;0,95;;;;;;;;
Marshalls Plc.;Marshalls Plc.;MSLH.L;MSLH;MSLH;200052157;0,85;;;;;;;;
Telecom Plus Plc.;Telecom Plus Plc.;TEP.L;TEP;TEP;79656155;0,95;;;;;;;;
Iqe Plc.;Iqe Plc.;IQE.L;IQE;IQE;797268610;0,85;;;;;;;;
STOBART GROUP Ltd.;STOBART GROUP Ltd.;STOB.L;STOB;STOB;624926123;0,6;;;;;;;;
A.G. Barr Plc.;A.G. Barr Plc.;BAG.L;BAG;BAG;112028871;0,8;;;;;;;;
